[16:54:52] [main/INFO]: ModLauncher running: args [--username, UGOTMAIL, --version, forge-43.2.8, --gameDir, C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5, --assetsDir, C:\Users\athac\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 4c118650628447d4ad2277ffc5ee64e3, --accessToken, ????????, --clientId, NzY0Njc5NTItMzU0MS00NWJkLWExZTktOTcwMTIyMGY2OGU5, --xuid, 2533274924334437, --userType, msa, --versionType, release, --width, 854, --height, 480, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.8, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[16:54:52] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[16:54:56] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/athac/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2397!/ Service=ModLauncher Env=CLIENT
[16:54:57] [main/INFO]: Found mod file abnormals_delight-1.19.2-4.0.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file AdvancedPeripherals-0.7.27r.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file AdvancementPlaques-1.19.2-1.4.7.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file AE2WTLib-12.8.7.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file AI-Improvements-1.19.2-0.5.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file AkashicTome-1.6-23.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file alexsmobs-1.21.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file allurement-1.19.2-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file AmbientEnvironment-forge-1.19.2-8.0+3.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file AmbientSounds_FORGE_v5.2.13_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file appleskin-forge-mc1.19-2.4.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Applied-Botanics-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Applied-Mekanistics-1.3.4.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file appliedenergistics2-forge-12.9.4.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file architectury-6.5.77-forge.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file ars_creo-1.19.2-3.1.3.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file ars_nouveau-1.19.2-3.13.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file arsarmiger-1.19.2-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file artifacts-1.19.2-5.0.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file atmospheric-1.19.2-5.0.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file AttributeFix-Forge-1.19.2-17.2.6.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file AutoRegLib-1.8.2-55.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file autumnity-1.19.2-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file balm-forge-1.19.2-4.5.7.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file berry_good-1.19.2-6.0.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file BetterAdvancements-1.19.2-0.2.2.142.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file BetterCompatibilityChecker-1.0.10-build.50+mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file BetterF3-4.0.0-Forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file betterlily.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file BHMenu-Forge-1.19.2-2.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file BiomesOPlenty-1.19.2-17.1.2.544.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file blockui-1.19-0.0.64-ALPHA.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file blue_skies-1.19.2-1.3.20.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file blueprint-1.19.2-6.1.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file boatload-1.19.2-4.2.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Bookshelf-Forge-1.19.2-16.2.18.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Botania-1.19.2-438-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file bushierflowers-0.0.2-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file buzzier_bees-1.19-5.0.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file bwncr-forge-1.19.2-3.14.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file carpeted-1.19.2-1.4.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file carryon-forge-1.19.2-2.0.5.10.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file catalogue-1.7.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file cave-enhancements-1.19.2-2.1.11-forge.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file cc-tweaked-1.19.2-1.101.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file chalk-1.19-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file charmofundying-forge-6.1.1+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file chat_heads-0.10.11-forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file cherishedworlds-forge-6.0.5+1.19.4.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Chunky-1.3.38.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file citadel-2.1.3-1.19.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file clayworks-1.19.2-2.0.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file clickadv-1.19.2-3.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file cloth-config-8.2.88-forge.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Clumps-forge-1.19.2-9.0.0+14.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file CNB-1.19-1.5.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file CodeChickenLib-1.19.2-4.3.1.481-universal.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file cofh_core-1.19.2-10.2.1.40.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file CommonCapabilities-1.19.2-2.9.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file compressedcreativity-1.19.2-0.1.5.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file configured-2.1.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file connectivity-1.19.2-3.4.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Controlling-forge-1.19.2-10.0+7.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file CosmeticArmorReworked-1.19.2-v1a.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file craftingtweaks-forge-1.19-15.1.6.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file create-1.19.2-0.5.0.i.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file createaddition-1.19.2-20230411a.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file createdeco-1.3.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file CreativeCore_FORGE_v2.9.3_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file creeperoverhaul-2.0.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file CTM-1.19.2-1.1.6+8.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file curios-forge-1.19.2-5.1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file CyclopsCore-1.19.2-1.18.3.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file DarkerDepths-1.19.2-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file DarkUtilities-Forge-1.19.2-13.1.7.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Decorative Blocks-forge-1.19.2-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file defaultoptions-forge-1.19-15.0.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file deuf-1.19.2-1.3.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file domesticationinnovation-1.6.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file domum_ornamentum-1.19-1.0.76-ALPHA-universal.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file dusk-1.19.2-2.4.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file dyed-forge-1.19.3-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file dynview-1.19.1-2.9.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file ecologics-forge-1.19.2-2.1.11.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file effortlessbuilding-1.19-2.40.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file EightsEconomyP-1.19-FORGE-1.1.0-all.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file elevatorid-1.19.2-1.8.9.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
